date,exp,imp,imae,crude_oil_brent,gas_henry_hub,treasury3month,yuan_dollar_spot_tc,usdollar_euro,ue_m,ue_x,usa_x,usa_m,chn_x,chn_m,year,month
1994-01-01,189.28135194,295.81327803,40.82201715,14.2915,,2.9755,8.721905,,45412097411.1041,47620482088.1106,55159.0,61365.0,6574410389.70951,7179652241.53572,1994,1
1994-02-01,225.79349402,292.97388258,38.45504166,13.802,,3.253684210526316,8.724868421052632,,46076361472.095695,48147402549.6072,53729.0,62974.0,7638376545.71103,8419345128.312971,1994,2
1994-03-01,248.56342878000004,318.04489027,40.08658809,13.822608695652177,,3.503043478260869,8.724134782608695,,47641907719.0454,49833985625.0562,58307.0,64772.0,8647451437.99665,9055517561.87896,1994,3
1994-04-01,249.06496918999997,282.95185367,37.06649016,15.23157894736842,,3.678421052631579,8.725078947368422,,48007465755.9286,50017547754.9044,56436.0,64323.0,9298383514.999,9886744613.11518,1994,4
1994-05-01,243.34740848000013,324.86785381000004,38.39819777,16.188,,4.144761904761905,8.685909523809524,,49253566322.2124,51945646255.8762,57342.0,65070.0,9548869143.89782,9410488773.364107,1994,5
1994-06-01,240.43847407999988,315.07251801000007,39.57278496,16.763181818181817,,4.136818181818182,8.683586363636364,,49828494783.666,53267174218.323,58451.0,66831.0,10178857277.0313,9962861248.96986,1994,6
1994-07-01,228.70242841999996,337.50094623999985,38.22103941,17.59952380952381,,4.3305,8.660505,,53811664949.4885,54790732055.7015,58492.0,67230.0,10420175466.7911,10012846801.9505,1994,7
1994-08-01,257.18992389000005,344.99191770000016,40.39419803,16.89272727272727,,4.479130434782609,8.607226086956523,,54169736030.7123,55658554799.277504,60407.0,68710.0,10156728032.5663,10132352064.1915,1994,8
1994-09-01,273.2793403400001,317.6489000399997,39.58270203,15.895,,4.624761904761905,8.558142857142858,,53268299734.8816,55669493517.1267,60715.0,69026.0,10539159427.1649,9459821026.69532,1994,9
1994-10-01,255.62511779999977,304.12139990000014,41.3735885,16.49047619047619,,4.9465,8.54917,,54912217465.1875,58058266902.4561,59861.0,69019.0,10532864098.2435,10198913149.6981,1994,10
1994-11-01,243.98938021000004,354.60709179000014,42.9166474,17.191363636363636,,5.289,8.53702,,55971285479.684296,58481122465.9491,61532.0,71147.0,11989062999.2811,10177137325.9169,1994,11
1994-12-01,222.9246828600003,299.78939889000003,41.62535578,15.932,,5.595714285714286,8.503342857142858,,59182585859.0438,59588837328.529,62825.0,71281.0,12777957194.8044,10552115998.8999,1994,12
1995-01-01,257.03637053,370.20434557,46.2351238,16.551904761904762,,5.7105,8.460804999999999,,55580368506.277504,62475880654.9268,63118.0,72442.0,12079292290.9117,7876187238.137,1995,1
1995-02-01,291.46358081000005,329.47913107,42.51345048,17.1145,,5.769473684210527,8.455268421052631,,57935546375.76711,61977821049.68141,63077.0,71894.0,11937478503.6376,10346180768.3019,1995,2
